id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
31051,457b5719-25ab-4e02-a031-dde5ef72fbcd,2011-06-19,2011-06-19,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2011-09-14 02:12:16 UTC,2018-01-24 02:44:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/31051,https://inaturalist-open-data.s3.amazonaws.com/photos/13088711/medium.jpg,,"","",1,0,false,,,,,,,,,28534,private,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
31340,0c780812-a317-4a7a-a405-26b79573fca9,2010-08-01,2010-08-01,,Hawaii,2965,marina,,2011-09-17 16:09:31 UTC,2024-07-04 21:07:35 UTC,research,,http://www.inaturalist.org/observations/31340,https://static.inaturalist.org/photos/54245/medium.JPG,,"",In Peter's Creek,7,2,false,,"California, US",37.2992247246,-122.0067408609,,,,,28417,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
32057,3500d4df-08c2-4633-9e1e-f571606c29f0,2011-09-13,2011-09-13,,Pacific Time (US & Canada),3020,james4,James Benjamin,2011-09-22 16:16:03 UTC,2017-06-19 19:36:44 UTC,research,,http://www.inaturalist.org/observations/32057,https://static.inaturalist.org/photos/55232/medium.jpg,,"","Picture was taken near dusk, with frog resting on leaf litter beneath branches of shrub that extended to ground. Initially faced outward,then retreated 4"" into brush when final picture was taken showing right profile.",1,0,false,,,,,,,,,28388,private,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
33513,b8c91664-a6b7-4d49-ad10-37e4f9b65b1e,"October 1, 2011 8:30:34 PM PDT",2011-10-01,2011-10-02 03:30:34 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2011-10-02 05:54:05 UTC,2024-07-04 21:06:57 UTC,research,CC0,http://www.inaturalist.org/observations/33513,https://inaturalist-open-data.s3.amazonaws.com/photos/57037/medium.jpg,,"","",4,0,false,,"California, US",37.9766866963,-122.0881793354,,,,,28314,,obscured,true,,,California Red-legged Frog (Rana draytonii),Rana draytonii,California Red-legged Frog,Amphibia,67016
37505,d859cd7d-642a-4004-92ea-db4971d07f7d,2011-10-28,2011-10-28,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2011-10-29 17:35:16 UTC,2024-07-04 21:06:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/37505,https://inaturalist-open-data.s3.amazonaws.com/photos/62849/medium.jpg,,"","",1,0,false,,"San Benito County, US-CA, US",36.5243224593,-121.0681553054,70,,,,28534,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
81571,0aee57ed-fe6f-449a-816b-3714567316fe,2012-05-19,2012-05-19,,Pacific Time (US & Canada),3213,keverettny,Kim Everett,2012-05-21 20:15:44 UTC,2024-07-04 21:04:44 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/81571,https://inaturalist-open-data.s3.amazonaws.com/photos/119861/medium.JPG,,"","",2,0,false,,"California, US",37.8326918981,-121.986779903,1963,,,,10000,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
83939,cdfcd669-fa73-4c0d-8197-41312dec614f,2012-05-27,2012-05-27,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2012-05-28 03:19:20 UTC,2024-07-04 21:04:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/83939,https://inaturalist-open-data.s3.amazonaws.com/photos/122997/medium.jpg,,"","",2,0,false,,"California, US",37.403217535,-121.9757665853,,,,,28388,obscured,obscured,true,,manual,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
99704,1155ede9-f35e-4e31-afe8-0451bf7deed3,2012-07-07,2012-07-07,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2012-07-08 14:51:37 UTC,2024-07-04 21:04:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/99704,https://inaturalist-open-data.s3.amazonaws.com/photos/144509/medium.jpg,,"","",1,0,false,,"San Benito County, US-CA, US",36.4254614268,-121.1030347683,11146,,,,28519,obscured,obscured,true,,google,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
123895,f74c9898-7a6c-404a-817a-87abd7f337d3,Sun Sep 16 2012 10:45:05 GMT-0700 (PDT),2012-09-16,2012-09-16 17:45:05 UTC,Pacific Time (US & Canada),28,tiwane,Tony Iwane,2012-09-17 01:47:00 UTC,2025-11-18 22:39:39 UTC,research,CC-BY,http://www.inaturalist.org/observations/123895,https://inaturalist-open-data.s3.amazonaws.com/photos/176024/medium.jpg,,"ggnra, amphibians, endangered","",1,0,false,,"California, US",37.6603639215,-122.4710099428,5,,,,28359,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
128076,136f807b-fc8b-4801-b01e-7efc1831d85a,2012-09-28,2012-09-28,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2012-09-29 07:03:02 UTC,2017-06-19 19:37:10 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/128076,https://inaturalist-open-data.s3.amazonaws.com/photos/181014/medium.jpg,,"","",1,0,false,,,,,,,,,28417,private,obscured,true,,manual,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
155907,a3b67cfb-a3a5-4e16-9dba-9b1bf126226f,2012-12-01 19:35:27,2012-12-01,2012-12-02 03:35:27 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2012-12-02 09:30:48 UTC,2015-05-13 03:35:57 UTC,research,CC0,http://www.inaturalist.org/observations/155907,https://inaturalist-open-data.s3.amazonaws.com/photos/213182/medium.jpg,,"","",2,0,false,,,,,,,,,28359,private,obscured,true,,"",California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
172103,428c7392-8582-41e1-be2f-41942c93d4de,2011-03-16,2011-03-16,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-01-03 18:45:17 UTC,2024-07-04 21:02:04 UTC,research,CC0,http://www.inaturalist.org/observations/172103,https://inaturalist-open-data.s3.amazonaws.com/photos/228209/medium.JPG,,"","",2,0,false,,"California, US",38.1507576406,-122.7027700848,1316,,,,10000,obscured,obscured,true,,manual,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
178737,e8162480-16a8-4e2f-8077-f11ab39c189f,2011-07-22,2011-07-22,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-01-12 21:14:30 UTC,2024-07-04 21:01:50 UTC,research,CC0,http://www.inaturalist.org/observations/178737,https://inaturalist-open-data.s3.amazonaws.com/photos/233796/medium.JPG,,"","",1,0,false,,"California, US",36.942662074,-121.555645677,307,,,,10000,obscured,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
178749,4f80ff2d-2821-45f2-95bd-7ae54a066996,2009-03-30,2009-03-30,,Pacific Time (US & Canada),11673,dreierj,66dodge,2013-01-12 21:21:20 UTC,2024-07-05 08:10:40 UTC,research,CC0,http://www.inaturalist.org/observations/178749,https://inaturalist-open-data.s3.amazonaws.com/photos/233807/medium.JPG,,"","",2,0,false,,"Santa Clara County, US-CA, US",37.2097447526,-121.7604742621,1004,,,,10000,obscured,obscured,true,,manual,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
187779,bd79a3e7-d2d0-4bf7-914f-ca623b78f7b3,2013-01-27,2013-01-27,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2013-01-28 16:52:45 UTC,2025-06-06 23:17:12 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/187779,https://inaturalist-open-data.s3.amazonaws.com/photos/242184/medium.jpg,,"","",2,0,false,,"California, US",37.3599040456,-122.5088452282,1636,,,,28417,obscured,obscured,true,,google,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
196375,5e1c245a-b084-431a-bc33-60d6be424c2f,Mon Feb 04 2013 11:04:15 GMT-0800 (PST),2013-02-04,2013-02-04 19:04:15 UTC,Pacific Time (US & Canada),3090,zabbey,Zack Abbey,2013-02-11 21:06:19 UTC,2026-03-30 22:59:08 UTC,research,CC-BY,http://www.inaturalist.org/observations/196375,https://inaturalist-open-data.s3.amazonaws.com/photos/250625/medium.jpg,,"","Egg mass, roughly a week old",1,0,false,,,,,,,,,28762,private,obscured,true,,,Rana draytonii,Rana draytonii,California Red-legged Frog,Amphibia,67016
199063,643b7883-268d-4793-879d-8bc36df559ab,2011-09-07,2011-09-07,,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-02-15 22:06:21 UTC,2024-07-04 21:01:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/199063,https://inaturalist-open-data.s3.amazonaws.com/photos/253105/medium.JPG,,"","",2,0,false,,"California, US",37.6714703405,-122.5076539357,43,,,,10000,,obscured,true,,,Rana draytonii,Rana draytonii,California Red-legged Frog,Amphibia,67016
199120,83108e30-79c5-483a-84cc-57a19e25f08f,2013-02-15,2013-02-15,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2013-02-16 01:11:39 UTC,2025-06-06 16:33:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/199120,https://inaturalist-open-data.s3.amazonaws.com/photos/253176/medium.jpg,,"",Eggs,1,0,false,,"California, US",37.2152507543,-122.5840212372,1636,,,,10000,obscured,obscured,true,,google,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
222241,a313f10b-611d-4fcc-b830-962b82107dad,2013-03-24,2013-03-24,,Pacific Time (US & Canada),354,folini,Franco Folini,2013-03-24 21:55:54 UTC,2024-07-04 20:50:32 UTC,research,CC-BY,http://www.inaturalist.org/observations/222241,https://inaturalist-open-data.s3.amazonaws.com/photos/279938/medium.jpg,,"","",3,0,false,,"California, US",37.7169406286,-122.5052410383,3,,,,10000,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
228989,535553e9-36a7-4c14-828d-1fe7e4aa8b53,2013-04-03,2013-04-03,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2013-04-04 13:51:46 UTC,2024-07-05 08:07:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/228989,https://static.inaturalist.org/photos/288225/medium.jpg,,"","",1,0,false,,"California, US",37.2566887296,-122.3344643689,3853,,,,10000,obscured,obscured,true,,"",California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
230900,9b7d8e8c-3e8f-4346-b889-25b190623b1f,Fri Apr 05 2013 11:31:35 GMT-0700 (PDT),2013-04-05,2013-04-05 18:31:35 UTC,Pacific Time (US & Canada),14811,snakeinmypocket,Vince Scheidt,2013-04-07 01:39:25 UTC,2024-07-04 20:50:12 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/230900,https://inaturalist-open-data.s3.amazonaws.com/photos/290356/medium.jpg,,"","",3,0,false,,"California, US",36.9488176165,-121.4850933488,5,,,,28476,obscured,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
241155,e31098f6-2503-4ab3-a9b7-9ae890be2497,2013-04-19,2013-04-19,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2013-04-20 17:42:18 UTC,2024-07-04 20:50:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/241155,https://inaturalist-open-data.s3.amazonaws.com/photos/301764/medium.jpg,,"","",2,0,false,,"San Benito County, US-CA, US",36.4250426489,-121.1187699762,10941,,,,10941,obscured,obscured,true,,google,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
242387,6a22a6bc-d493-49c3-9988-59f3bf276db9,2013-04-21,2013-04-21,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2013-04-22 00:09:57 UTC,2024-07-05 08:06:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/242387,https://inaturalist-open-data.s3.amazonaws.com/photos/303148/medium.jpg,,"","",3,0,false,,"California, US",37.3598802531,-122.4090485891,1636,,,,28403,obscured,obscured,true,,google,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
246055,138bea97-237b-44f3-9dcd-a5cb28921245,2013-04-26,2013-04-26,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2013-04-26 22:53:22 UTC,2024-07-04 20:49:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/246055,https://static.inaturalist.org/photos/307533/medium.jpg,,"","",2,0,false,,"California, US",37.3018687008,-122.4267099261,1636,,,,10000,obscured,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
261599,0a33f963-c380-4cd6-81d4-3031f6a93f25,Wed May 08 2013 22:44:03 GMT-0700 (PDT),2013-05-08,2013-05-09 05:44:03 UTC,Pacific Time (US & Canada),3090,zabbey,Zack Abbey,2013-05-10 23:06:48 UTC,2024-07-14 14:10:47 UTC,research,CC-BY,http://www.inaturalist.org/observations/261599,https://inaturalist-open-data.s3.amazonaws.com/photos/324286/medium.jpg,,"",One of many captured during a night eye shine survey. ,2,0,false,,"California, US",36.8276671519,-121.7959272325,,,,,28476,obscured,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
270997,ee8162ee-9c7f-4acd-b332-65c1da6ff4ef,2013-05-17,2013-05-17,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2013-05-18 04:02:37 UTC,2024-07-04 20:48:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/270997,https://inaturalist-open-data.s3.amazonaws.com/photos/335153/medium.jpg,,"","",1,0,false,,"California, US",37.324146161,-122.5375067637,1636,,,,28417,obscured,obscured,true,,google,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
326047,da920eac-c504-4f8e-b175-c73309de283d,2013-05-01 12:01 PM,2013-05-01,2013-05-01 19:01:00 UTC,Pacific Time (US & Canada),18222,sullivanribbit,John Sullivan,2013-07-09 04:39:57 UTC,2024-07-04 20:47:56 UTC,research,CC-BY,http://www.inaturalist.org/observations/326047,https://inaturalist-open-data.s3.amazonaws.com/photos/405925/medium.jpg,,"","",2,0,false,,"California, US",37.3962644071,-122.5106858104,1636,,,,28417,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
328173,2665bcd1-b83f-4f06-a078-d364183ea8fc,2013-07-07,2013-07-07,,Pacific Time (US & Canada),16743,toddplummer,Todd Plummer,2013-07-11 15:04:34 UTC,2024-12-27 07:11:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/328173,https://inaturalist-open-data.s3.amazonaws.com/photos/408735/medium.JPG,,endangered,fairly large frog in freshwater marsh; reddish lining of hind leg visible; spotty dorsum,4,0,false,,"California, US",38.1413051838,-122.9115415598,209,,,,10000,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
329127,3d5ca730-d7b1-477d-8c45-47a5e6986e19,2011-08-10,2011-08-10,,Pacific Time (US & Canada),8706,howardfriedman1,Howard Friedman,2013-07-12 03:31:28 UTC,2024-07-04 20:47:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/329127,https://inaturalist-open-data.s3.amazonaws.com/photos/409887/medium.jpg,,"","",1,0,false,,"California, US",36.9673874389,-121.7404538769,,,,,10000,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
334171,6f90b3fc-b231-4091-8256-4d042d418121,2013-07-15,2013-07-15,,Pacific Time (US & Canada),18222,sullivanribbit,John Sullivan,2013-07-16 04:28:02 UTC,2024-07-04 20:47:22 UTC,research,CC-BY,http://www.inaturalist.org/observations/334171,https://inaturalist-open-data.s3.amazonaws.com/photos/417061/medium.jpg,,"","",1,0,false,,"California, US",37.1232197985,-121.4382406951,24,,,,10000,,obscured,true,,,Rana draytonii,Rana draytonii,California Red-legged Frog,Amphibia,67016
336149,4111f094-b7db-446c-97cf-e661cc8fac10,2011-07-03,2011-07-03,,Pacific Time (US & Canada),18222,sullivanribbit,John Sullivan,2013-07-18 03:51:29 UTC,2024-07-04 20:47:13 UTC,research,CC-BY,http://www.inaturalist.org/observations/336149,https://inaturalist-open-data.s3.amazonaws.com/photos/419369/medium.jpg,,"","",1,0,false,,"San Benito County, US-CA, US",36.5605621698,-121.0577150474,3312,,,,10000,,obscured,true,,,Rana draytonii,Rana draytonii,California Red-legged Frog,Amphibia,67016
345650,551dc403-7456-445d-b9d1-a35747fdd4e3,2007-05-19,2007-05-19,,Pacific Time (US & Canada),18222,sullivanribbit,John Sullivan,2013-07-25 20:56:31 UTC,2024-07-04 20:47:06 UTC,research,CC-BY,http://www.inaturalist.org/observations/345650,https://inaturalist-open-data.s3.amazonaws.com/photos/430347/medium.jpg,,"","",1,0,false,,"San Benito County, US-CA, US",36.5245165063,-121.1843468308,13,,,,10000,,obscured,true,,,Rana draytonii,Rana draytonii,California Red-legged Frog,Amphibia,67016
371881,38711dc9-cc7c-456c-bb82-a3c43318d6a4,Mon Aug 19 2013 11:46:28 GMT-0700 (PDT),2013-08-19,2013-08-19 18:46:28 UTC,Pacific Time (US & Canada),4249,adinamaya,Adina Merenlender,2013-08-21 13:01:33 UTC,2024-07-04 20:46:00 UTC,research,,http://www.inaturalist.org/observations/371881,https://static.inaturalist.org/photos/464950/medium.jpg,,"","I was with Brock dolman and we saw the diagnostic flap yellowish on the side.  He has better photo
I will
Try to load later",4,0,false,3,"Sonoma County, UCNRS, US-CA, US",38.3109110828,-123.0803176693,,,,,28270,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
376872,69637bd5-c9ee-403e-8dbf-e2bc25eb79e7,2013-08-19,2013-08-19,,Pacific Time (US & Canada),10264,dutchbill,David Berman,2013-08-25 05:44:08 UTC,2024-07-04 20:45:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/376872,https://static.inaturalist.org/photos/471162/medium.jpg,,"",Adina Merelender and Brock Dolman found the frog near the Bodega marine Lab pond,4,1,false,,"Sonoma County, UCNRS, US-CA, US",38.3137328967,-123.0257957922,3,,,,28270,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
381323,9a1e4de7-0c7d-43c5-b725-f08c8a116b31,Tue Aug 27 2013 21:05:18 GMT-0700 (PDT),2013-08-27,2013-08-28 04:05:18 UTC,Pacific Time (US & Canada),19715,gbentall,Gena Bentall,2013-08-29 03:19:28 UTC,2024-07-04 20:45:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/381323,https://inaturalist-open-data.s3.amazonaws.com/photos/476865/medium.jpg,,"","",2,0,false,3,"San Benito County, US-CA, US",36.5884651379,-121.0705427742,,,,,10000,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
402824,d9b0f7ce-4c7d-4cbb-855c-11d21903292c,2013-09-19,2013-09-19,,Pacific Time (US & Canada),18222,sullivanribbit,John Sullivan,2013-09-20 03:16:24 UTC,2024-07-04 03:53:19 UTC,research,CC-BY,http://www.inaturalist.org/observations/402824,https://inaturalist-open-data.s3.amazonaws.com/photos/504414/medium.jpg,,"",I counted 144 red-legged frogs around the edges of the reservoir. Apparently the reintroduction project is going well!,1,0,false,,"San Benito County, US-CA, US",36.5658838746,-121.1055397001,111,,,,10000,,obscured,true,,,Rana draytonii,Rana draytonii,California Red-legged Frog,Amphibia,67016
444387,26f4a5ec-0d58-4424-8d2a-f021f4831505,2013-10-30,2013-10-30,,Pacific Time (US & Canada),8778,gyrrlfalcon,Jennifer Rycenga,2013-10-30 20:52:05 UTC,2024-07-04 03:53:02 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/444387,https://inaturalist-open-data.s3.amazonaws.com/photos/559524/medium.JPG,,"",At least three of them in the small pond along Old Mori Road trail at Mori Point. We also heard one further east on the trail.,1,0,false,,"California, US",37.6776527112,-122.4836157019,,,,,28344,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
451906,da6269ea-5720-417b-9111-69ca00f3e182,2013-11-08,2013-11-08,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2013-11-09 15:53:54 UTC,2024-07-04 03:52:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/451906,https://inaturalist-open-data.s3.amazonaws.com/photos/569985/medium.jpg,,"","",1,0,false,,"California, US",36.926995767,-122.1864207859,226,,,,28461,obscured,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
